"director","total_gross_million"
"Jean-Bernard Marlin",NULL
"Jay Oliva",NULL
"Jonas Åkerlund",NULL
"Andy Serkis",NULL
"Alice Rohrwacher",NULL
"Helen Shaver",NULL
"Shonali Bose",NULL
"Katherine Dieckmann",NULL
"Shawn Levy",NULL
"Marti Noxon",NULL
"James Marsh",NULL
"Oliver Hockenhull",NULL
"Marie Monge",NULL
"Vince Marcello",NULL
"Bo Burnham",NULL
"Samira Radsi",NULL
"Michael Goi",NULL
"Rodrigo Pelmonto",NULL
"Valerie Finkel",NULL
"Sherif Mandour",NULL
"David Higby",NULL
"Selvamani Selvaraj",NULL
"Indra Gunawan",NULL
"Ozgur Onurme",NULL
"Augustine Frizzell",NULL
"Adam Parton",NULL
"John Herzfeld",NULL
"Michael Sucsy",NULL
"Kyoko Miyake",NULL
"Steve Shill",NULL
"Michihito Fujii",NULL
"Michael Baumgarten",NULL
"Martijn Heijne",NULL
"Johanna Demetrakas",NULL
"Micah Smith",NULL
